model,seed,cohort,roc_auc,pr_auc,accuracy,f1,sensitivity,specificity,brier_score,ece
Centralized XGBoost,3407,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.015014839479239903,0.08759638036236816
Centralized XGBoost,3407,UPenn_external_test,0.670751633986928,0.9389549529675599,0.8157894736842105,0.8934010152284264,0.8627450980392157,0.4166666666666667,0.13918385885555792,0.14009262757016377
Centralized XGBoost,3407,CGGA_external_val,0.8157181571815718,0.9488658424408221,0.84,0.9047619047619048,0.926829268292683,0.4444444444444444,0.12439735106362182,0.060954576432704966
Centralized MLP,3407,TCGA_test,0.998109640831758,0.9995247567881571,0.9739130434782609,0.9836065573770492,0.9782608695652174,0.9565217391304348,0.023743005283020913,0.07541849902083021
Centralized MLP,3407,UPenn_external_test,0.6601307189542484,0.9415836128468966,0.8245614035087719,0.8979591836734694,0.8627450980392157,0.5,0.1659377527664755,0.20044308228799718
Centralized MLP,3407,CGGA_external_val,0.7615176151761518,0.9349988909125784,0.78,0.8735632183908046,0.926829268292683,0.1111111111111111,0.15325622851163892,0.12087194677954202
FedAvg MLP,3407,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0005443433474058611,0.01080941210388336
FedAvg MLP,3407,UPenn_external_test,0.7165032679738562,0.9580636599946053,0.8070175438596491,0.8877551020408163,0.8529411764705882,0.4166666666666667,0.17106531414575196,0.17224319028939836
FedAvg MLP,3407,CGGA_external_val,0.8238482384823849,0.9512184846736924,0.84,0.9024390243902439,0.9024390243902439,0.5555555555555556,0.12521434357441483,0.10599647205589334
FedProx MLP (mu=0.01),3407,TCGA_test,1.0,1.0,0.991304347826087,0.994535519125683,0.9891304347826086,1.0,0.00758741312333484,0.043502645802076335
FedProx MLP (mu=0.01),3407,UPenn_external_test,0.7148692810457516,0.9579402903668657,0.8070175438596491,0.8888888888888888,0.8627450980392157,0.3333333333333333,0.16232774538326022,0.14065121050574902
FedProx MLP (mu=0.01),3407,CGGA_external_val,0.8157181571815719,0.948303931299074,0.82,0.8941176470588236,0.926829268292683,0.3333333333333333,0.11922715109453766,0.10398217380889357
Patient DP (sigma=0.05),3407,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.00044365116347642005,0.008831963801569054
Patient DP (sigma=0.05),3407,UPenn_external_test,0.7303921568627452,0.9627014582214183,0.8070175438596491,0.8877551020408163,0.8529411764705882,0.4166666666666667,0.16891688385786827,0.17602028843898987
